model,budget,macro_f1_mean,macro_f1_std,source
M2_QCNN_LOCAL_6P,4,0.899335,0.03492,executed V12 quick-mode notebook output
M2_QCNN_LOCAL_6P,8,0.925309,0.061239,executed V12 quick-mode notebook output
M2_QCNN_LOCAL_6P,16,1.0,0,executed V12 quick-mode notebook output
M2_QCNN_LOCAL_6P,32,1.0,0,executed V12 quick-mode notebook output
M2_QCNN_LOCAL_6P,64,1.0,0,executed V12 quick-mode notebook output
QRNN_MINIMAL_1P,4,0.91847,0.068089,executed V12 quick-mode notebook output
QRNN_MINIMAL_1P,8,0.975309,0.034919,executed V12 quick-mode notebook output
QRNN_MINIMAL_1P,16,0.925926,0,executed V12 quick-mode notebook output
QRNN_MINIMAL_1P,32,0.975309,0.034919,executed V12 quick-mode notebook output
QRNN_MINIMAL_1P,64,1.0,0,executed V12 quick-mode notebook output
SHARED_TTN_6P,4,0.646585,0.102437,executed V12 quick-mode notebook output
SHARED_TTN_6P,8,0.77977,0.052693,executed V12 quick-mode notebook output
SHARED_TTN_6P,16,0.9,0.070711,executed V12 quick-mode notebook output
SHARED_TTN_6P,32,0.925309,0.061239,executed V12 quick-mode notebook output
SHARED_TTN_6P,64,1.0,0,executed V12 quick-mode notebook output
PROJECTED_QSVM,4,0.875926,0.092556,executed V12 quick-mode notebook output
PROJECTED_QSVM,8,0.975309,0.034919,executed V12 quick-mode notebook output
PROJECTED_QSVM,16,0.923361,0.001814,executed V12 quick-mode notebook output
PROJECTED_QSVM,32,0.950617,0.034919,executed V12 quick-mode notebook output
PROJECTED_QSVM,64,1.0,0,executed V12 quick-mode notebook output
LOW_COPY_SHADOW_KERNEL_SVM,4,0.899335,0.03492,executed V12 quick-mode notebook output
LOW_COPY_SHADOW_KERNEL_SVM,8,0.874026,0.1271,executed V12 quick-mode notebook output
LOW_COPY_SHADOW_KERNEL_SVM,16,0.944444,0.078567,executed V12 quick-mode notebook output
LOW_COPY_SHADOW_KERNEL_SVM,32,0.923361,0.001814,executed V12 quick-mode notebook output
LOW_COPY_SHADOW_KERNEL_SVM,64,0.975309,0.034919,executed V12 quick-mode notebook output
