split,model,budget,macro_f1_mean,macro_f1_std
BOUNDARY_PROXY,M2_QCNN_LOCAL_6P,4,0.794444,0.067128
BOUNDARY_PROXY,M2_QCNN_LOCAL_6P,8,0.899335,0.03492
BOUNDARY_PROXY,M2_QCNN_LOCAL_6P,16,0.925309,0.061239
BOUNDARY_PROXY,QRNN_MINIMAL_1P,4,0.757692,0.065948
BOUNDARY_PROXY,QRNN_MINIMAL_1P,8,0.924026,0.061253
BOUNDARY_PROXY,QRNN_MINIMAL_1P,16,0.845679,0.061108
BOUNDARY_PROXY,SHARED_TTN_6P,4,0.679574,0.127164
BOUNDARY_PROXY,SHARED_TTN_6P,8,0.816739,0.093523
BOUNDARY_PROXY,SHARED_TTN_6P,16,0.736652,0.093389
BOUNDARY_PROXY,PROJECTED_QSVM,4,0.8,0.141421
BOUNDARY_PROXY,PROJECTED_QSVM,8,0.86847,0.038512
BOUNDARY_PROXY,PROJECTED_QSVM,16,0.924026,0.061253
BOUNDARY_PROXY,LOW_COPY_SHADOW_KERNEL_SVM,4,0.718232,0.131636
BOUNDARY_PROXY,LOW_COPY_SHADOW_KERNEL_SVM,8,0.796581,0.051975
BOUNDARY_PROXY,LOW_COPY_SHADOW_KERNEL_SVM,16,0.77189,0.111328
FIDELITY_GAP,M2_QCNN_LOCAL_6P,4,0.862915,0.041835
FIDELITY_GAP,M2_QCNN_LOCAL_6P,8,0.948052,0.036733
FIDELITY_GAP,M2_QCNN_LOCAL_6P,16,0.974026,0.036733
FIDELITY_GAP,QRNN_MINIMAL_1P,4,0.803796,0.085473
FIDELITY_GAP,QRNN_MINIMAL_1P,8,0.922078,0
FIDELITY_GAP,QRNN_MINIMAL_1P,16,0.91847,0.068089
FIDELITY_GAP,SHARED_TTN_6P,4,0.580569,0.063849
FIDELITY_GAP,SHARED_TTN_6P,8,0.7886,0.031631
FIDELITY_GAP,SHARED_TTN_6P,16,0.716522,0.120894
FIDELITY_GAP,PROJECTED_QSVM,4,0.866522,0.098278
FIDELITY_GAP,PROJECTED_QSVM,8,0.892496,0.041835
FIDELITY_GAP,PROJECTED_QSVM,16,0.881718,0.1166
FIDELITY_GAP,LOW_COPY_SHADOW_KERNEL_SVM,4,0.703846,0.12791
FIDELITY_GAP,LOW_COPY_SHADOW_KERNEL_SVM,8,0.774215,0.045364
FIDELITY_GAP,LOW_COPY_SHADOW_KERNEL_SVM,16,0.699856,0.046936
