model,budget,macro_f1_mean,macro_f1_std,source
M0_BELL_SHOT_CONSISTENT,4,0.923247,0.047456,executed V9.2 notebook output
M0_BELL_SHOT_CONSISTENT,8,0.924016,0.047462,executed V9.2 notebook output
M0_BELL_SHOT_CONSISTENT,16,0.97,0.06,executed V9.2 notebook output
M0_BELL_SHOT_CONSISTENT,32,1.0,0.0,executed V9.2 notebook output
M0_BELL_SHOT_CONSISTENT,64,1.0,0.0,executed V9.2 notebook output
M1_GEN_BELL_3P,4,0.91037,0.056226,executed V9.2 notebook output
M1_GEN_BELL_3P,8,0.939971,0.030051,executed V9.2 notebook output
M1_GEN_BELL_3P,16,0.925556,0.047436,executed V9.2 notebook output
M1_GEN_BELL_3P,32,0.97037,0.036289,executed V9.2 notebook output
M1_GEN_BELL_3P,64,0.968831,0.038174,executed V9.2 notebook output
M2_QCNN_LOCAL_6P,4,0.953247,0.038174,executed V9.2 notebook output
M2_QCNN_LOCAL_6P,8,0.954786,0.036944,executed V9.2 notebook output
M2_QCNN_LOCAL_6P,16,0.939601,0.056247,executed V9.2 notebook output
M2_QCNN_LOCAL_6P,32,0.985185,0.02963,executed V9.2 notebook output
M2_QCNN_LOCAL_6P,64,1.0,0.0,executed V9.2 notebook output
